City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Peniche,PT,55.99,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
3,Waiouru,NZ,49.01,scattered clouds,-39.4833,175.6667,Tāwhiri
5,Petropavlovsk-Kamchatskiy,RU,30.2,clear sky,53.0452,158.6483,"ООО ""Гостиничный комплекс ""Петропавловск"""
7,Qaqortoq,GL,37.4,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
8,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
9,Nouadhibou,MR,62.6,clear sky,20.930999999999997,-17.0347,El Medina
14,Punta Arenas,CL,39.2,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
19,Greymouth,NZ,55.51,clear sky,-42.4667,171.2,Kingsgate Hotel Greymouth
20,Mar Del Plata,AR,64.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
22,Ponta Do Sol,PT,60.8,scattered clouds,32.6667,-17.1,Hotel do Campo
24,Makakilo City,US,69.8,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
27,Lebu,CL,55.27,clear sky,-37.6167,-73.65,Hostal Las Lilas
28,Oktyabrskoye,RU,42.8,broken clouds,43.0645,44.7417,Prolesok Mini-hotel
30,Fort Myers Beach,US,61.0,clear sky,26.451999999999998,-81.9481,Lani Kai Island Resort
32,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
33,Belomorsk,RU,32.9,overcast clouds,64.5232,34.7668,Khostel Belomorsk
37,Athabasca,CA,42.8,broken clouds,54.7169,-113.2854,Athabasca Lodge Motel
40,Port Lincoln,AU,59.9,clear sky,-34.7333,135.8667,Port Lincoln Hotel
41,Shingu,JP,55.4,scattered clouds,33.7333,135.9833,Shingu UI Hotel
42,Qaqortoq,GL,37.4,overcast clouds,60.7167,-46.0333,Hotel Qaqortoq
43,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
44,Dunedin,NZ,60.01,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
45,Nikolskoye,RU,37.99,overcast clouds,59.7035,30.7861,Tourist House - Sablino
46,Constitucion,CL,54.46,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
47,Eureka,US,46.0,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
