City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kruisfontein,ZA,2021-03-12 22:52:31,-34.0033,24.7314,69.53,64,69,2.51
1,Cayenne,GF,2021-03-12 23:01:12,4.9333,-52.3333,73.4,94,0,2.3
2,Hamilton,US,2021-03-12 22:49:10,39.1834,-84.5333,59.0,33,75,8.05
3,Harper,LR,2021-03-12 23:01:13,4.375,-7.7169,79.11,87,90,5.93
4,Ratnagiri,IN,2021-03-12 22:51:47,16.9833,73.3,75.15,60,59,3.85
5,Berlevag,NO,2021-03-12 23:01:13,70.8578,29.0864,19.4,86,75,17.27
6,East London,ZA,2021-03-12 23:00:02,-33.0153,27.9116,74.61,86,31,16.93
7,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
8,Abong Mbang,CM,2021-03-12 23:01:14,3.9833,13.1833,70.63,94,93,3.67
9,Jamestown,US,2021-03-12 22:57:57,42.097,-79.2353,46.4,36,1,16.89
10,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
11,Georgetown,MY,2021-03-12 23:01:15,5.4112,100.3354,77.0,94,20,3.44
12,Piacabucu,BR,2021-03-12 23:01:16,-10.4056,-36.4344,79.18,78,44,10.76
13,Narsaq,GL,2021-03-12 22:51:52,60.9167,-46.05,14.0,62,75,8.05
14,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
15,Muzaffarabad,PK,2021-03-12 22:58:14,34.37,73.4711,52.27,67,91,7.34
16,Hobyo,SO,2021-03-12 23:01:17,5.3505,48.5268,77.25,82,58,12.75
17,Hermanus,ZA,2021-03-12 23:01:18,-34.4187,19.2345,63.0,92,88,3.0
18,Villa Maria,AR,2021-03-12 23:01:19,-32.4075,-63.2402,78.37,43,99,2.46
19,Punta Arenas,CL,2021-03-12 23:01:19,-53.15,-70.9167,55.4,67,75,24.16
20,Jamestown,US,2021-03-12 22:57:57,42.097,-79.2353,46.4,36,1,16.89
21,Turukhansk,RU,2021-03-12 23:01:20,65.8167,87.9833,-14.28,97,84,13.18
22,Villa Carlos Paz,AR,2021-03-12 23:01:20,-31.4241,-64.4978,71.6,78,0,4.61
23,East London,ZA,2021-03-12 23:00:02,-33.0153,27.9116,74.61,86,31,16.93
24,Orbetello,IT,2021-03-12 23:01:21,42.4408,11.2196,52.0,87,40,3.44
25,Tasiilaq,GL,2021-03-12 23:01:21,65.6145,-37.6368,15.8,86,90,2.3
26,Maragogi,BR,2021-03-12 22:59:53,-9.0122,-35.2225,78.85,77,0,8.9
27,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
28,Dikson,RU,2021-03-12 23:01:23,73.5069,80.5464,-10.53,92,100,17.74
29,Zhezkazgan,KZ,2021-03-12 23:01:24,47.8043,67.7144,-6.36,86,12,14.88
30,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
31,Beloha,MG,2021-03-12 23:01:24,-25.1667,45.05,73.18,73,0,16.11
32,Dingle,PH,2021-03-12 23:01:25,10.9995,122.6711,76.05,93,100,7.45
33,Sept-Iles,CA,2021-03-12 23:01:25,50.2001,-66.3821,28.99,59,90,17.27
34,Husavik,IS,2021-03-12 23:01:25,66.0449,-17.3389,30.2,80,75,10.36
